Total Pressure: -5.82 , Pressure 1: -1.45 , Pressure 2: 1.45 , Pressure 3: -4.36 , Pressure 4: -1.45 , Horizontal: 0.00 
Total Pressure: -29.10 , Pressure 1: -10.18 , Pressure 2: 0.00 , Pressure 3: -14.55 , Pressure 4: -4.36 , Horizontal: -0.01 
Total Pressure: -30.55 , Pressure 1: -8.73 , Pressure 2: -2.91 , Pressure 3: -16.00 , Pressure 4: -2.91 , Horizontal: 0.01 
Total Pressure: -32.01 , Pressure 1: -8.73 , Pressure 2: -2.91 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: -0.01 
Total Pressure: -17.46 , Pressure 1: -5.82 , Pressure 2: 0.00 , Pressure 3: -5.82 , Pressure 4: -5.82 , Horizontal: 0.01 
Total Pressure: -7.27 , Pressure 1: -5.82 , Pressure 2: 2.91 , Pressure 3: -1.45 , Pressure 4: -2.91 , Horizontal: -0.01 
Total Pressure: -18.91 , Pressure 1: -7.27 , Pressure 2: 2.91 , Pressure 3: -8.73 , Pressure 4: -5.82 , Horizontal: 0.01 
Total Pressure: -18.91 , Pressure 1: -5.82 , Pressure 2: -2.91 , Pressure 3: -8.73 , Pressure 4: -1.45 , Horizontal: -0.01 
Total Pressure: -30.55 , Pressure 1: -8.73 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -5.82 , Horizontal: -0.02 
Total Pressure: -16.00 , Pressure 1: -7.27 , Pressure 2: -2.91 , Pressure 3: -2.91 , Pressure 4: -2.91 , Horizontal: -0.01 
Total Pressure: -20.37 , Pressure 1: -2.91 , Pressure 2: 2.91 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: 0.00 
Total Pressure: -32.01 , Pressure 1: -10.18 , Pressure 2: 1.45 , Pressure 3: -16.00 , Pressure 4: -7.27 , Horizontal: 0.00 
Total Pressure: -21.82 , Pressure 1: -5.82 , Pressure 2: -2.91 , Pressure 3: -7.27 , Pressure 4: -5.82 , Horizontal: -0.01 
Total Pressure: -30.55 , Pressure 1: -10.18 , Pressure 2: 0.00 , Pressure 3: -16.00 , Pressure 4: -4.36 , Horizontal: 0.03 
Total Pressure: -30.55 , Pressure 1: -10.18 , Pressure 2: -2.91 , Pressure 3: -13.09 , Pressure 4: -4.36 , Horizontal: 0.00 
