 , ,Total Pressure:, Pressure 1:, Pressure 2:, Pressure 3:, Pressure 4:, Horizontal:
20230209134338366,2023-02-09 13:43:38,13.09,0.00,8.73,1.45,2.91,0.01
20230209134338632,2023-02-09 13:43:38,4.36,2.91,14.55,-20.37,7.27,0.01
20230209134338908,2023-02-09 13:43:38,-4.36,8.73,4.36,-17.46,0.00,-0.01
20230209134339206,2023-02-09 13:43:39,-1.45,0.00,0.00,-8.73,7.27,0.04
20230209134339498,2023-02-09 13:43:39,27.64,14.55,20.37,-10.18,2.91,0.04
20230209134339718,2023-02-09 13:43:39,43.65,18.91,27.64,-2.91,0.00,0.13
20230209134339891,2023-02-09 13:43:39,75.65,18.91,43.65,10.18,2.91,0.06
20230209134340046,2023-02-09 13:43:40,189.13,53.83,69.83,46.56,18.91,0.10
20230209134340195,2023-02-09 13:43:40,257.51,56.74,109.11,61.10,30.55,0.19
20230209134340341,2023-02-09 13:43:40,391.36,94.57,164.40,94.57,37.83,0.17
20230209134340492,2023-02-09 13:43:40,442.28,106.21,193.50,90.20,52.38,0.19
20230209134340640,2023-02-09 13:43:40,586.31,136.76,253.15,122.21,74.20,0.21
20230209134340798,2023-02-09 13:43:40,683.79,167.31,298.25,135.30,82.93,0.23
20230209134340968,2023-02-09 13:43:40,686.70,161.49,302.61,145.49,77.11,0.23
20230209134341140,2023-02-09 13:43:41,686.70,161.49,296.79,146.94,81.47,0.17
20230209134341310,2023-02-09 13:43:41,708.52,171.67,308.43,151.31,77.11,0.18
20230209134341482,2023-02-09 13:43:41,682.33,168.76,288.06,145.49,80.02,0.25
20230209134341652,2023-02-09 13:43:41,241.51,61.10,97.48,58.19,24.73,0.17
20230209134341812,2023-02-09 13:43:41,36.37,18.91,11.64,4.36,1.45,0.08
20230209134341986,2023-02-09 13:43:41,1.45,5.82,8.73,-13.09,0.00,0.08
20230209134342161,2023-02-09 13:43:42,-5.82,8.73,0.00,-14.55,0.00,0.03
20230209134342335,2023-02-09 13:43:42,13.09,8.73,10.18,-10.18,4.36,0.07
20230209134342509,2023-02-09 13:43:42,-16.00,1.45,0.00,-20.37,2.91,0.10
20230209134342683,2023-02-09 13:43:42,34.92,8.73,32.01,-8.73,2.91,0.15
20230209134342870,2023-02-09 13:43:42,139.67,48.01,68.38,11.64,11.64,0.06
20230209134343043,2023-02-09 13:43:43,279.33,78.56,122.21,46.56,32.01,0.15
20230209134343215,2023-02-09 13:43:43,413.18,109.11,171.67,87.29,45.10,0.14
20230209134343385,2023-02-09 13:43:43,416.09,98.93,181.86,84.38,50.92,0.18
20230209134343554,2023-02-09 13:43:43,413.18,116.39,173.13,77.11,46.56,0.19
20230209134343723,2023-02-09 13:43:43,472.83,123.66,194.95,94.57,59.65,0.19
20230209134343879,2023-02-09 13:43:43,548.48,136.76,241.51,106.21,64.01,0.21
20230209134344027,2023-02-09 13:43:44,558.67,141.12,231.32,123.66,62.56,0.20
20230209134344175,2023-02-09 13:43:44,551.39,135.30,234.23,128.03,53.83,0.15
20230209134344324,2023-02-09 13:43:44,564.49,138.21,240.05,125.12,61.10,0.23
20230209134344472,2023-02-09 13:43:44,554.30,125.12,242.96,132.39,53.83,0.19
20230209134344619,2023-02-09 13:43:44,509.20,123.66,229.87,98.93,56.74,0.15
20230209134344767,2023-02-09 13:43:44,145.49,43.65,65.47,26.19,10.18,0.14
20230209134344927,2023-02-09 13:43:44,17.46,8.73,8.73,-5.82,5.82,0.04
20230209134345133,2023-02-09 13:43:45,10.18,1.45,1.45,1.45,5.82,0.05
20230209134345333,2023-02-09 13:43:45,1.45,1.45,0.00,-5.82,5.82,0.04
20230209134345536,2023-02-09 13:43:45,-7.27,4.36,7.27,-20.37,1.45,0.03
